Version,LAUC
2,0.53
3,0.17
4,0.18
5,0.36
6,0.38
7,0.46
8,0.53
9,0.54
10,0.51
11,0.45
12,0.48
13,0.40
14,0.47
15,0.50
16,0.50
17,0.50
18,0.41
19,0.41
20,0.42
21,0.42
22,0.42
23,0.43
24,0.43
25,0.42
26,0.39
27,0.39
29,0.36
30,0.41
31,0.36
32,0.36
33,0.34
34,0.36
35,0.44
36,0.37
37,0.33
38,0.34
39,0.29
40,0.30
41,0.27
42,0.30
43,0.30
44,0.35
45,0.28
46,0.29
47,0.26
48,0.28
49,0.25
50,0.27
51,0.33
52,0.33
53,0.33
54,0.31
55,0.33
56,0.40
57,0.41
58,0.41
59,0.29
60,0.27
61,0.30
62,0.30
64,0.27
65,0.28
66,0.27
67,0.27
68,0.28
69,0.27
70,0.27
71,0.29
72,0.28
73,0.28
74,0.28
75,0.28
76,0.35
77,0.29
78,0.29
79,0.29
80,0.29
81,0.29
82,0.27
83,0.29
84,0.29
85,0.29
86,0.28
87,0.29
88,0.24
89,0.23
106,0.21
