Version,LAUC
2,0.89
3,0.83
4,0.82
5,0.86
6,0.70
7,0.75
8,0.84
9,0.86
10,0.81
11,0.79
12,0.80
13,0.65
14,0.65
15,0.66
16,0.58
17,0.55
18,0.51
19,0.61
20,0.56
21,0.61
22,0.64
23,0.60
24,0.59
25,0.64
26,0.64
27,0.65
28,0.61
29,0.61
30,0.62
31,0.53
32,0.51
33,0.57
34,0.61
35,0.62
37,0.88
38,0.77
39,0.66
40,0.71
41,0.82
42,0.71
43,0.69
44,0.73
45,0.86
46,0.19
47,0.87
48,0.83
49,0.84
50,0.85
51,0.70
52,0.80
53,0.75
54,0.71
55,0.84
56,0.72
57,0.70
58,0.66
59,0.77
60,0.67
61,0.73
62,0.63
63,0.69
64,0.56
65,0.62
66,0.52
67,0.55
68,0.54
69,0.58
70,0.59
71,0.62
72,0.71
73,0.70
74,0.52
75,0.53
76,0.49
77,0.52
78,0.47
79,0.52
80,0.48
81,0.50
82,0.47
83,0.47
84,0.47
85,0.54
86,0.62
87,0.62
88,0.63
89,0.84
90,0.84
91,0.82
92,0.76
93,0.73
94,0.75
95,0.66
96,0.61
97,0.59
98,0.56
99,0.77
100,0.68
101,0.61
102,0.19
103,0.19
104,0.19
105,0.19
106,0.15
